config,direction,threshold_kind,threshold_value,median_threshold_vox,scorable,excluded,hop_correct,wrong_hop,wrong_adjacent_wrap_identity,correct_wrap_distance_miss,hop_correct_pct,wrong_hop_pct,wrong_wrap_pct,distance_miss_pct,median_expected_dist_vox,p90_expected_dist_vox,median_local_gap_vox
reduced,front,gap_fraction,0.25,2.793,4613,5387,139,4474,207,4267,3.013,96.987,4.487,92.499,27.354,47.515,11.171
reduced,front,gap_fraction,0.5,5.586,4613,5387,274,4339,207,4132,5.940,94.060,4.487,89.573,27.354,47.515,11.171
reduced,front,gap_fraction,0.75,8.379,4613,5387,469,4144,207,3937,10.167,89.833,4.487,85.346,27.354,47.515,11.171
reduced,front,gap_fraction,1.0,11.171,4613,5387,748,3865,207,3658,16.215,83.785,4.487,79.298,27.354,47.515,11.171
reduced,front,gap_fraction,1.5,16.757,4613,5387,1122,3491,207,3284,24.323,75.677,4.487,71.190,27.354,47.515,11.171
reduced,front,fixed_vox,2,2.000,4613,5387,118,4495,207,4288,2.558,97.442,4.487,92.955,27.354,47.515,11.171
reduced,front,fixed_vox,4,4.000,4613,5387,223,4390,207,4183,4.834,95.166,4.487,90.679,27.354,47.515,11.171
reduced,front,fixed_vox,6,6.000,4613,5387,322,4291,207,4084,6.980,93.020,4.487,88.532,27.354,47.515,11.171
reduced,front,fixed_vox,8,8.000,4613,5387,417,4196,207,3989,9.040,90.960,4.487,86.473,27.354,47.515,11.171
reduced,front,fixed_vox,10,10.000,4613,5387,589,4024,207,3817,12.768,87.232,4.487,82.744,27.354,47.515,11.171
reduced,front,fixed_vox,12,12.000,4613,5387,811,3802,207,3595,17.581,82.419,4.487,77.932,27.354,47.515,11.171
reduced,front,fixed_vox,16,16.000,4613,5387,1191,3422,207,3215,25.818,74.182,4.487,69.694,27.354,47.515,11.171
reduced,front,fixed_vox,24,24.000,4613,5387,1859,2754,207,2547,40.299,59.701,4.487,55.214,27.354,47.515,11.171
reduced,front,fixed_vox,32,32.000,4613,5387,2605,2008,207,1801,56.471,43.529,4.487,39.042,27.354,47.515,11.171
reduced,front,fixed_um,25,3.161,4613,5387,172,4441,207,4234,3.729,96.271,4.487,91.784,27.354,47.515,11.171
reduced,front,fixed_um,50,6.321,4613,5387,334,4279,207,4072,7.240,92.760,4.487,88.272,27.354,47.515,11.171
reduced,front,fixed_um,75,9.482,4613,5387,538,4075,207,3868,11.663,88.337,4.487,83.850,27.354,47.515,11.171
reduced,front,fixed_um,100,12.642,4613,5387,879,3734,207,3527,19.055,80.945,4.487,76.458,27.354,47.515,11.171
reduced,front,fixed_um,150,18.963,4613,5387,1403,3210,207,3003,30.414,69.586,4.487,65.099,27.354,47.515,11.171
reduced,front,fixed_um,200,25.284,4613,5387,1965,2648,207,2441,42.597,57.403,4.487,52.916,27.354,47.515,11.171
reduced,back,gap_fraction,0.25,2.200,8724,1276,95,8629,665,7964,1.089,98.911,7.623,91.288,24.332,70.914,8.802
reduced,back,gap_fraction,0.5,4.401,8724,1276,202,8522,665,7857,2.315,97.685,7.623,90.062,24.332,70.914,8.802
reduced,back,gap_fraction,0.75,6.601,8724,1276,381,8343,665,7678,4.367,95.633,7.623,88.010,24.332,70.914,8.802
reduced,back,gap_fraction,1.0,8.802,8724,1276,913,7811,665,7146,10.465,89.535,7.623,81.912,24.332,70.914,8.802
reduced,back,gap_fraction,1.5,13.203,8724,1276,2083,6641,665,5976,23.877,76.123,7.623,68.501,24.332,70.914,8.802
reduced,back,fixed_vox,2,2.000,8724,1276,67,8657,665,7992,0.768,99.232,7.623,91.609,24.332,70.914,8.802
reduced,back,fixed_vox,4,4.000,8724,1276,157,8567,665,7902,1.800,98.200,7.623,90.578,24.332,70.914,8.802
reduced,back,fixed_vox,6,6.000,8724,1276,304,8420,665,7755,3.485,96.515,7.623,88.893,24.332,70.914,8.802
reduced,back,fixed_vox,8,8.000,8724,1276,957,7767,665,7102,10.970,89.030,7.623,81.408,24.332,70.914,8.802
reduced,back,fixed_vox,10,10.000,8724,1276,1519,7205,665,6540,17.412,82.588,7.623,74.966,24.332,70.914,8.802
reduced,back,fixed_vox,12,12.000,8724,1276,1886,6838,665,6173,21.619,78.381,7.623,70.759,24.332,70.914,8.802
reduced,back,fixed_vox,16,16.000,8724,1276,2696,6028,665,5363,30.903,69.097,7.623,61.474,24.332,70.914,8.802
reduced,back,fixed_vox,24,24.000,8724,1276,3882,4842,665,4177,44.498,55.502,7.623,47.879,24.332,70.914,8.802
reduced,back,fixed_vox,32,32.000,8724,1276,5213,3511,665,2846,59.755,40.245,7.623,32.623,24.332,70.914,8.802
reduced,back,fixed_um,25,3.161,8724,1276,117,8607,665,7942,1.341,98.659,7.623,91.036,24.332,70.914,8.802
reduced,back,fixed_um,50,6.321,8724,1276,412,8312,665,7647,4.723,95.277,7.623,87.655,24.332,70.914,8.802
reduced,back,fixed_um,75,9.482,8724,1276,1425,7299,665,6634,16.334,83.666,7.623,76.043,24.332,70.914,8.802
reduced,back,fixed_um,100,12.642,8724,1276,2001,6723,665,6058,22.937,77.063,7.623,69.441,24.332,70.914,8.802
reduced,back,fixed_um,150,18.963,8724,1276,3163,5561,665,4896,36.256,63.744,7.623,56.121,24.332,70.914,8.802
reduced,back,fixed_um,200,25.284,8724,1276,4055,4669,665,4004,46.481,53.519,7.623,45.896,24.332,70.914,8.802
